"Netz-Code";"Netzname";"Pad-Anzahl";"Via-Anzahl";"Via-Länge";"Leiterbahnlänge";"Die-Länge";"Netzlänge";
226;"Net-(U1-PadT13)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
229;"/Memory/MMDC_D8";3;4;6,0776 mm;40,4537 mm;0,0000 mm;46,5313 mm;
230;"/Memory/MMDC_D9";3;4;6,0776 mm;41,2111 mm;0,0000 mm;47,2887 mm;
231;"/Memory/MMDC_D7";3;4;6,0776 mm;54,7575 mm;0,0000 mm;60,8351 mm;
232;"/Memory/MMDC_D10";3;4;6,0776 mm;45,4715 mm;0,0000 mm;51,5491 mm;
233;"/Memory/MMDC_D1";3;4;6,0776 mm;50,5044 mm;0,0000 mm;56,5820 mm;
234;"/Memory/MMDC_D3";3;4;6,0776 mm;58,8528 mm;0,0000 mm;64,9304 mm;
235;"/Memory/MMDC_D4";3;4;6,0776 mm;61,5655 mm;0,0000 mm;67,6431 mm;
239;"Net-(U1-PadU13)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
240;"Net-(R15-Pad1)";2;0;0,0000 mm;4,7059 mm;0,0000 mm;4,7059 mm;
243;"Net-(C102-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
244;"Net-(C104-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
245;"Net-(C106-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
246;"Net-(C108-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
247;"Net-(C109-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
248;"Net-(C109-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
249;"Net-(C110-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
250;"Net-(C110-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
254;"Net-(R13-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
257;"Net-(C111-Pad2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
258;"Net-(C112-Pad2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
259;"Net-(C114-Pad2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
260;"Net-(C115-Pad2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
264;"Net-(R14-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
267;"Net-(U8-PadD1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
268;"Net-(U8-PadE1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
269;"Net-(U8-PadE2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
270;"Net-(U8-PadE3)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
271;"Net-(U8-PadF2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
272;"Net-(U8-PadF3)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
273;"Net-(R47-Pad1)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
285;"/Network/ENET1_MII/RMII_MODE";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
286;"Net-(R50-Pad2)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
287;"Net-(R48-Pad2)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
299;"Net-(C117-Pad2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
300;"Net-(C118-Pad2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
301;"Net-(C127-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
302;"Net-(C128-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
303;"/Display/HDMI_TX2p";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
304;"/Display/HDMI_TX2n";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
305;"/Display/HDMI_TX1p";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
306;"/Display/HDMI_TX1n";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
307;"/Display/HDMI_TX0p";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
308;"/Display/HDMI_TX0n";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
309;"/Display/HDMI_TXCp";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
310;"/Display/HDMI_TXCn";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
311;"/USB/USB1_DP";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
312;"/USB/USB1_DN";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
313;"Net-(R26-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
314;"Net-(R27-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
315;"Net-(R41-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
316;"Net-(R63-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
317;"/Display/LCD_CLK";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
318;"/Display/LCD_DAT1";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
319;"/Display/LCD_DAT6";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
