"Netz-Code";"Netzname";"Pad-Anzahl";"Via-Anzahl";"Via-Länge";"Leiterbahnlänge";"Die-Länge";"Netzlänge";
378;"/Memory/MMDC_ODT0";2;2;3,0388 mm;14,9642 mm;0,0000 mm;18,0030 mm;
379;"/Memory/MMDC_SDQS0_P";3;3;4,5582 mm;45,9225 mm;0,0000 mm;50,4807 mm;
380;"/Memory/MMDC_SDQS0_N";3;5;7,5970 mm;45,2510 mm;0,0000 mm;52,8480 mm;
381;"/Memory/MMDC_SDQS1_P";3;3;4,5582 mm;42,4828 mm;0,0000 mm;47,0410 mm;
382;"/Memory/MMDC_SDQS1_N";3;5;7,5970 mm;42,9346 mm;0,0000 mm;50,5316 mm;
383;"/Memory/MMDC_DQM1";3;5;7,5970 mm;47,2893 mm;0,0000 mm;54,8863 mm;
384;"/Memory/MMDC_DQM0";3;4;6,0776 mm;55,7484 mm;0,0000 mm;61,8260 mm;
385;"Net-(R19-Pad1)";2;0;0,0000 mm;3,8527 mm;0,0000 mm;3,8527 mm;
390;"Net-(J5-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
399;"/Display/E-PAPER/XSCL";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
400;"/Display/E-PAPER/XSDA";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
402;"/Display/E-PAPER/VDD";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
406;"/Display/E-PAPER/VEE_FB";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
407;"/Display/E-PAPER/VDD_FB";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
409;"Net-(C56-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
410;"Net-(C57-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
411;"Net-(C58-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
412;"Net-(C60-Pad1)";16;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
413;"Net-(C63-Pad1)";9;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
414;"Net-(C64-Pad2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
415;"Net-(C65-Pad2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
416;"Net-(C82-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
417;"Net-(C83-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
418;"Net-(C84-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
419;"Net-(C85-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
420;"Net-(C86-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
421;"Net-(C87-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
422;"Net-(C88-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
423;"Net-(C96-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
424;"Net-(C98-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
425;"Net-(C100-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
426;"Net-(C101-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
427;"Net-(C102-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
428;"Net-(C103-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
429;"Net-(C103-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
430;"Net-(C104-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
431;"Net-(C105-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
432;"Net-(C105-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
433;"Net-(C106-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
434;"Net-(C107-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
435;"Net-(C107-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
436;"Net-(C108-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
437;"Net-(C119-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
438;"Net-(C120-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
439;"Net-(C128-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
440;"Net-(C129-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
441;"Net-(C129-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
442;"Net-(C131-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
443;"Net-(C132-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
444;"Net-(C133-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
445;"Net-(C134-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
448;"Net-(J5-Pad3)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
449;"Net-(J5-Pad6)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
450;"Net-(J5-Pad7)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
451;"Net-(J7-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
452;"Net-(J7-Pad3)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
453;"Net-(J7-Pad4)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
454;"Net-(J7-Pad6)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
456;"Net-(J7-PadL2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
457;"Net-(J7-PadL3)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
464;"Net-(J9-PadR2)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
465;"Net-(J9-PadS)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
466;"Net-(J6-Pad10)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
467;"Net-(J6-Pad2)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
468;"Net-(C138-Pad1)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
